ingredient,singulier,pluriel
baba,baba,babas
babeurre,babeurre,babeurres
babybel,babybel,babybels
bacardi,bacardi,bacardis
bacon,bacon,bacons
bagel,bagel,bagels
baguette,baguette,baguettes
baie,baie,baies
bailey',bailey,baileys
baking,baking,bakings
bambou,bambou,bambous
banane,banane,bananes
bananier,bananier,bananiers
banon,banon,banons
banyul,banyul,banyuls
bar,bar,bars
barbe-à-papa,barbe-à-papa,barbe-à-papas
barbeau,barbeau,barbeaux
barbue,barbue,barbues
barde,barde,bardes
bardièr,bardièr,bardièrs
basilic,basilic,basilic
basse-côte,basse-côte,basse-côtes
bastogne,bastogne,bastognes
batavia,batavia,batavias
baudroie,baudroie,baudroies
bavette,bavette,bavettes
beaufort,beaufort,beauforts
beaujolais,beaujolais,beaujolaiss
beaume,beaume,beaumes
beef,beef,beefs
beignet,beignet,beignets
beni,beni,benis
bergamote,bergamote,bergamotes
bergerac,bergerac,bergeracs
berkoukes,berkoukes,berkoukes
berniqu,berniqu,berniqus
bette,bette,bettes
betterave,betterave,betteraves
beurre,beurre,beurres
bicarbonate,bicarbonate,bicarbonates
biche,biche,biches
bifteck,bifteck,biftecks
bigarade,bigarade,bigarades
bigorneau,bigorneau,bigorneaux
bille,bille,billes
bimi,bimi,bimis
biscotte,biscotte,biscottes
biscuit,biscuit,biscuits
bison,bison,bisons
bisqu,bisqu,bisqus
bitter,bitter,bitters
bière,bière,bières
blanc,blanc,blancs
blanquette,blanquette,blanquettes
blette,blette,blettes
bleu,bleu,bleus
blini,blini,blinis
blé,blé,blés
blanc d’oeuf,blanc d’oeuf,blancs d’oeufs
bocconcini,bocconcini,bocconcinis
boeuf,boeuf,boeufs
bois,bois,bois
bois-bandé,bois-bandé,bois-bandés
boisson,boisson,boissons
bok,bok,boks
bolet,bolet,bolets
bonbon,bonbon,bonbons
bonite,bonite,bonites
bonnet,bonnet,bonnets
bordeaux,bordeaux,bordeaux
bouchée,bouchée,bouchées
boudin,boudin,boudins
boudoir,boudoir,boudoirs
bouillon,bouillon,bouillons
boule,boule,boules
boulette,boulette,boulettes
boulgour,boulgour,boulgours
bounty,bounty,bountys
bouquet,bouquet,bouquets
bouquetin,bouquetin,bouquetins
bourbon,bourbon,bourbons
bourgeois,bourgeois,bourgeois
bourgogne,bourgogne,bourgognes
bourguignon,bourguignon,bourguignons
bourrache,bourrache,bourraches
boursault,boursault,boursaults
boursin,boursin,boursins
bouton,bouton,boutons
boyau,boyau,boyaux
boîte,boîte,boîtes
branche,branche,branches
brandade,brandade,brandades
brandy,brandy,brandys
bresaola,bresaola,bresaolas
bresse,bresse,bresses
bretzel,bretzel,bretzels
brick,brick,bricks
brie,brie,bries
brillat,brillat,brillats
brioche,brioche,brioches
briochette,briochette,briochettes
brique,brique,briques
brisure,brisure,brisures
brocciu,brocciu,broccius
brochet,brochet,brochets
brocoli,brocoli,brocolis
brousse,brousse,brousses
broute,broute,broutes
brownie,brownie,brownies
brugnon,brugnon,brugnons
brunost,brunost,brunosts
brède,brède,brèdes
bucatini,bucatini,bucatinis
bulot,bulot,bulots
burrata,burrata,burratas
butternut,butternut,butternuts
bâtonnet,bâtonnet,bâtonnets
bètchey,bètchey,bètcheys
bécasse,bécasse,bécasses
béchamel,béchamel,béchamels
bélangère,bélangère,bélangères
bénédictine,bénédictine,bénédictines
bûche,bûche,bûches
cabillaud,cabillaud,cabillauds
cabécou,cabécou,cabécous
cacahuète,cacahuète,cacahuètes
cacao,cacao,cacaos
cachaça,cachaça,cachaças
cachou,cachou,cachous
caciocavallo,caciocavallo,caciocavallos
cactus,cactus,cactuss
café,café,cafés
caille,caille,cailles
cailler,cailler,caillers
calamar,calamar,calamars
calisson,calisson,calissons
caloupiler,caloupiler,caloupilers
calvados,calvados,calvadoss
cambozola,cambozola,cambozolas
camembert,camembert,camemberts
campari,campari,camparis
canard,canard,canards
cancoillotte,cancoillotte,cancoillottes
canette,canette,canettes
canneberge,canneberge,canneberges
cannelle,cannelle,cannelles
canneloni,canneloni,cannelonis
cantadou,cantadou,cantadous
cantal,cantal,cantal
cap,cap,caps
capellini,capellini,capellinis
cappuccino,cappuccino,cappuccinos
capron,capron,caprons
capucine,capucine,capucines
carambar,carambar,carambars
carambole,carambole,caramboles
caramel,caramel,caramels
carbonate,carbonate,carbonates
carcasse,carcasse,carcasses
cardamome,cardamome,cardamomes
carde,carde,cardes
cardon,cardon,cardons
carensac,carensac,carensacs
carmine,carmine,carmines
carotte,carotte,carottes
carpaccio,carpaccio,carpaccios
carpe,carpe,carpes
carrelet,carrelet,carrelets
carrer,carrer,carrers
carvi,carvi,carvis
casarecce,casarecce,casarecces
cassi,cassi,cassis
cassonade,cassonade,cassonades
cassoulet,cassoulet,cassoulets
cava,cava,cavas
caviar,caviar,caviars
cendre,cendre,cendres
cenovi,cenovi,cenovis
cerf,cerf,cerfs
cerfeuil,cerfeuil,cerfeuils
cerise,cerise,cerises
cerneau,cerneau de noix,cerneaux de noix
cervela,cervela,cervelas
cervelle,cervelle,cervelles
chabichou,chabichou,chabichous
chablis,chablis,chablis
chair,chair,chairs
chamallow,chamallow,chamallows
champagne,champagne,champagnes
champignon,champignon,champignons
chanterelle,chanterelle,chanterelles
chaource,chaource,chaources
chapelure,chapelure,chapelures
chapon,chapon,chapons
charbon,charbon,charbons
charcuterie,charcuterie,charcuteries
charolais,charolais,charolais
chartreux,chartreux,chartreux
chatrou,chatrou,chatrous
chaume,chaume,chaumes
chaussée,chausser,chaussers
chayote,chayote,chayotes
cheddar,cheddar,cheddars
chermouler,chermouler,chermoulers
chester,chester,chesters
cheval,cheval,chevaux
cheveu,cheveu,cheveux
chevreau,chevreau,chevreaux
chevreuil,chevreuil,chevreuils
chevrotin,chevrotin,chevrotins
chicorée,chicorée,chicorées
chili,chili,chilis
chimère,chimère,chimères
chips,chip,chips
chipiron,chipiron,chipirons
chipolata,chipolata,chipolatas
chlorure,chlorure,chlorures
chocolat,chocolat,chocolats
chorizo,chorizo,chorizos
chou,chou,choux
chou-fleur,chou-fleur,choux-fleurs
chou-rave,chou-rave,choux-raves
chouchen,chouchen,chouchens
chouchou,chouchou,chouchous
choucroute,choucroute,choucroutes
chouquette,chouquette,chouquettes
christophine,christophine,christophines
chutney,chutney,chutneys
châtaigne,châtaigne,châtaignes
chèvre,chèvre,chèvres
chêne,chêne,chênes
ciabatta,ciabatta,ciabattas
ciboul,ciboul,cibouls
ciboulette,ciboulette,ciboulettes
cidre,cidre,cidres
cigal,cigal,cigals
cigarette,cigarette,cigarettes
cinzano,cinzano,cinzanos
citron,citron,citrons
citronat,citronat,citronats
citronnelle,citronnelle,citronnelles
citrouille,citrouille,citrouilles
cive,cive,cives
clairette,clairet,clairets
clam,clam,clams
clou,clou,clous
clovisse,clovisse,clovisses
clémentine,clémentine,clémentines
cobia,cobia,cobias
cochon,cochon,cochons
coco,coco,cocos
coeur,coeur,coeurs
cognac,cognac,cognacs
coing,coing,coings
cointreau,cointreau,cointreaux
cola,cola,colas
coleslaw,coleslaw,coleslaws
colin,colin,colins
collet,collet,collets
collier,collier,colliers
colorant,colorant,colorants
combava,combava,combavas
compote,compote,compotes
comté,comté,comtés
concentrer,concentrer,concentrer
conchiglioni,conchiglioni,conchiglionis
concombre,concombre,concombres
condiment,condiment,condiments
confisuc,confisuc,confisuc
confit,confit,confits
confiture,confiture,confitures
congre,congre,congres
consommer,consommer,consommer
contre-filet,contre-filet,contre-filets
cookie,cookie,cookies
copeau,copeau,copeaux
coppa,coppa,coppas
coq,coq,coqs
coque,coque,coques
coquelet,coquelet,coquelets
coquelicot,coquelicot,coquelicots
coquille,coquille,coquilles
coquillette,coquillette,coquillettes
cordon,cordon,cordons
coriandre,coriandre,coriandres
corn,corn,corns
corned,corned,corneds
cornet,cornet,cornets
cornette,cornette,cornettes
cornichon,cornichon,cornichons
corossol,corossol,corossols
cosse,cosse,cosses
cottage,cottage,cottages
couche,couche,couches
coude,coude,coudes
couenne,couenne,couennes
coulemelle,coulemelle,coulemelles
coulis,coulis,couliss
coulommiers,coulommiers,coulommiers
courge,courge,courges
courgette,courgette,courgettes
court,court,courts
court-bouillon,court-bouillon,court-bouillons
couscous,couscous,couscous
couteau,couteau,couteaux
crabe,crabe,crabes
cracker,cracker,crackers
cranberrie,cranberrie,cranberries
cream,cream,creams
crema,crema,cremas
cresson,cresson,cressons
cressonnette,cressonnette,cressonnettes
crevette,crevette,crevettes
croquant,croquant,croquants
crosne,crosne,crosnes
crottin,crottin,crottins
crozet,crozet,crozets
croître,croître,croîtres
croûte,croûte,croûtes
croûton,croûton,croûtons
crumble,crumble,crumbles
crunch,crunch,crunchs
crème,crème,crèmes
crémant,crémant,crémants
crépidule,crépidule,crépidules
crépine,crépine,crépines
crépinette,crépinette,crépinettes
crêpe,crêpe,crêpes
cuajada,cuajada,cuajadas
cube,cube,cubes
cuberdon,cuberdon,cuberdons
cuisse,cuisse,cuisses
cumin,cumin,cumins
curaçao,curaçao,curaçaos
curcuma,curcuma,curcumas
curry,curry,currys
curé,curé,curés
cynorhodon,cynorhodon,cynorhodons
câpre,câpre,câpres
cèpe,cèpe,cèpes
cédrat,cédrat,cédrats
céleri,céleri,céleris
céréale,céréale,céréales
côte,côte,côtes
côtelette,côtelette,côtelettes
daikon,daikon,daikons
daim,daim,daims
dakatine,dakatine,dakatines
danette,danette,danettes
dashi,dashi,dashis
datte,datte,dattes
daucu,daucu,daucus
daurade,daurade,daurades
digestive,digestive,digestives
dinde,dinde,dindes
dindonneau,dindonneau,dindonneaux
diot,diot,diots
disque,disque,disques
djansan,djansan,djansans
dos,do,dos
dorade,dorade,dorades
doré,doré,dorés
doubanjiang,doubanjiang,doubanjiangs
double,double,doubles
dragibu,dragibu,dragibus
dragé,dragé,dragés
dé,dé,dés
décor,décor,décors
eau,eau,eaux
edam,edam,edams
edamame,edamame,edamames
elbot,elbot,elbots
emmental,emmental,emmental
empereur,empereur,empereurs
encornet,encornet,encornets
endive,endive,endives
energy,energy,energys
entrecôte,entrecôte,entrecôtes
escalope,escalope,escalopes
escargot,escargot,escargots
espadon,espadon,espadons
essence,essence,essences
estomac,estomac,estomacs
estragon,estragon,estragons
esturgeon,esturgeon,esturgeons
etorki,etorki,etorki
expresso,expresso,expressos
extraire,extraire,extraires
faisan,faisan,faisans
faisselle,faisselle,faisselles
fajita,fajita,fajitas
fane,fane,fanes
fanta,fanta,fantas
farce,farce,farces
farfalle,farfalle,farfalles
farine,farine,farines
faux-filet,faux-filet,faux-filets
fenouil,fenouil,fenouils
fenugreek,fenugreek,fenugreeks
ferment,fermer,fermers
feta,feter,feters
fettucine,fettucine,fettucines
feuille,feuille,feuilles
feuillet,feuillet,feuillets
feuilleté,feuilleté,feuilletés
ficelle,ficelle,ficelles
figatelli,figatelli,figatellis
figolus,figolus,figoluss
figue,figue,figues
filet,filet,filets
filo,filo,filos
fin,fin,fins
fixe,fixe,fixes
flageolet,flageolet,flageolets
flanchet,flanchet,flanchets
fleur,fleur,fleurs
fleuron,fleuron,fleurons
flocon,flocon,flocons
floraline,floraline,floralines
florentin,florentin,florentins
fluff,fluff,fluffs
flétan,flétan,flétans
flûte,flûte,flûtes
foie,foie,foies
fond,fond,fonds
fondre,fondre,fondres
fonio,fonio,fonios
fouetté,fouetté,fouettés
fourme,fourme,fourmes
fraise,fraise,fraises
framboise,framboise,framboises
frangipane,frangipane,frangipanes
fregola,fregola,fregolas
frik,frik,friks
frisé,friser,frisers
frite,frite,frites
fromage,fromage,fromages
fructose,fructose,fructoses
fruit,fruit,fruits
fumet,fumet,fumets
fungrec,fungrec,fungrecs
fusilli,fusilli,fusillis
fève,fève,fèves
fécule,fécule,fécules
férer,férer,férers
févette,févette,févettes
galanger,galanger,galangers
galette,galette,galettes
gambas,gambas,gambass
ganache,ganache,ganaches
gaperon,gaperon,gaperons
garam,garam,garams
gari,gari,garis
gaufre,gaufre,gaufres
gaufrette,gaufrette,gaufrettes
gavotte,gavotte,gavottes
gelsuc,gelsuc,gelsucs
gelée,gelée,gelées
gendarme,gendarme,gendarmes
genièvre,genièvre,genièvres
germe,germe,germes
gervita,gervita,gervitas
get,get,gets
gewurztraminer,gewurztraminer,gewurztraminer
ghee,ghee,ghees
gianduja,gianduja,giandujas
gigot,gigot,gigots
gigérine,gigérine,gigérines
gin,gin,gins
gingembre,gingembre,gingembres
ginger,ginger,gingers
gini,gini,ginis
giraumon,giraumon,giraumons
girell,girell,girells
girofle,girofle,girofles
giromon,giromon,giromons
glace,glace,glaces
glaçage,glaçage,glaçages
glaçon,glaçon,glaçons
glucose,glucose,glucoses
glutamate,glutamate,glutamates
glycérine,glycérine,glycérines
gnocchi,gnocchi,gnocchis
gochugaru,gochugaru,gochugarus
gochujang,gochujang,gochujangs
gofio,gofio,gofios
golden,golden,goldens
golmotte,golmotte,golmottes
gomasio,gomasio,gomasios
gombo,gombo,gombos
gomme,gomme,gommes
gorge,gorge,gorges
gorgonzola,gorgonzola,gorgonzolas
gouda,gouda,goudas
gousse,gousse,gousses
goyave,goyave,goyaves
goyavier,goyavier,goyaviers
grain,grain,grains
graine,graine,graines
graisse,graisse,graisses
grand-marnier,grand-marnier,Grand-marnier
granny,granny,grannys
granola,granola,granolas
granulé,granuler,granulers
grappa,grappa,grappas
grenade,grenade,grenades
grenadier,grenadier,grenadiers
grenadin,grenadin,grenadins
grenadine,grenadine,grenadines
grer,grer,grers
gressin,gressin,gressins
greubon,greubon,greubons
griotte,griotte,griottes
grive,grive,grives
grondin,grondin,grondins
gros,gros,gross
groseille,groseille,groseilles
gruau,gruau,gruaus
gruyère,gruyère,gruyères
guacamole,guacamole,guacamoles
guancial,guancial,guanciaux
guigne,guigne,guignes
guignolet,guignolet,guignolets
guimauve,guimauve,guimauves
guinness,guinness,guinnesss
gâteau,gâteau,gâteaux
gélatine,gélatine,gélatines
génois,génois,génoiss
génépi,génépi,génépis
gésier,gésier,gésiers
gîte,gîte,gîtes
haché,haché,hachés
haddock,haddock,haddocks
halloumi,halloumi,halloumis
hampe,hampe,hampes
hareng,hareng,harengs
haricot,haricot,haricots
harisser,harisser,harissers
haut,haut,hauts
herbe,herbe,herbes
hlalem,hlalem,hlalems
homard,homard,homards
hostie,hostie,hosties
houmou,houmou,houmous
huile,huile,huiles
huître,huître,huîtres
hydromel,hydromel,hydromels
hypocra,hypocra,hypocras
iceberg,iceberg,icebergs
igname,igname,ignames
irish,irish,irishs
ivoire,ivoire,ivoires
jalapeño,jalapeño,jalapeños
jambon,jambon,jambons
jambonneau,jambonneau,jambonneaux
jarret,jarret,jarrets
jaune,jaune,jaunes
jeune,jeune,jeunes
joue,joue,joues
jujube,jujube,jujubes
julien,julien,juliens
jumbo,jumbo,jumbos
jus,jus,juss
jägermeister,jägermeister,jägermeisters
jésus,jésus,jésus
kadaif,kadaif,kadaifs
kaki,kaki,kakis
kal,kal,kaux
kangourou,kangourou,kangourous
kari,kari,karis
kasha,kasha,kashas
kechek,kechek,kecheks
kefalotiri,kefalotiri,kefalotiris
ketchup,ketchup,ketchups
kinder,kinder,kinders
kiri,kiri,kiris
kirsch,kirsch,kirschs
kiwi,kiwi,kiwis
knack,knack,knacks
knacki,knacki,knackis
kombu,kombu,kombus
kombucha,kombucha,kombuchas
kororimer,kororimer,kororimers
krisproll,krisproll,krisprolls
kub,kub,kubs
kumquat,kumquat,kumquats
kéfir,kéfir,kéfirs
labeyrie,labeyrie,labeyries
lactaire,lactaire,lactaires
lait,lait,laits
laitue,laitue,laitues
lambig,lambig,lambigs
lambis,lambis,lambis
lamproie,lamproie,lamproies
langoust,langoust,langousts
langoustine,langoustine,langoustines
langre,langre,langres
langue,langue,langues
lapin,lapin,lapins
lard,lard,lards
lardon,lardon,lardons
lasagne,lasagne,lasagnes
lasagnette,lasagnette,lasagnettes
laurier,laurier,lauriers
lavande,lavande,lavandes
leerdammer,leerdammer,leerdammers
leffe,leffe,leffes
lemon,lemon,lemons
lentille,lentille,lentilles
lentin,lentin,lentins
levain,levain,levains
levure,levure,levures
lier,lier,liers
lieu,lieu,lieux
lillet,lillet,lillets
limande,limande,limandes
lime,lime,limes
limonade,limonade,limonades
limoncello,limoncello,limoncellos
lingue,lingue,lingues
linguine,linguine,linguines
liqueur,liqueur,liqueurs
liseron,liseron,liserons
litchi,litchi,litchis
livarot,livarot,livarots
livèche,livèche,livèches
lièvre,lièvre,lièvres
longanisse,longanisse,longanisses
longer,longer,longers
lotte,lotte,lottes
lotus,lotus,lotuss
lou,lou,lous
loup,loup,loups
lupini,lupini,lupinis
lécithine,lécithine,lécithines
légume,légume,légumes
m&m',m&m,m&ms
maasdam,maasdam,maasdam
macaron,macaron,macarons
macaroni,macaroni,macaronis
macis,macis,macis
macreus,macreus,macreus
macédoine,macédoine,macédoines
madeleine,madeleine,madeleines
madère,madère,madères
magret,magret,magrets
mahi,mahi,mahis
malabar,malabar,malabars
malibu,malibu,malibus
malte,malte,maltes
manchego,manchego,manchegos
mandarine,mandarine,mandarines
mangoustan,mangoustan,mangoustans
mangue,mangue,mangues
maniguette,maniguette,maniguettes
manioc,manioc,maniocs
manouri,manouri,manouris
manzana,manzana,manzanas
maquereau,maquereau,maquereaux
marasquin,marasquin,marasquins
marc,marc,marcs
marcassin,marcassin,marcassins
margarine,margarine,margarines
marier,marier,mariers
marjolaine,marjolaine,marjolaines
marlin,marlin,marlins
marmelade,marmelade,marmelades
maroilles,maroilles,maroilles
maronsui',maronsui,maronsuis
marron,marron,marrons
mars,mars,mars
marsala,marsala,marsalas
marshmallow,marshmallow,marshmallows
martini,martini,martinis
mascarpone,mascarpone,mascarpones
massala,massala,massalas
massalé,massalé,massalés
massepain,massepain,massepains
mastell,mastell,mastells
matière,matière,matières
maton,maton,matons
maury,maury,maurys
mayonnaise,mayonnaise,mayonnaises
maïs,maïs,maïs
maïzena,maïzena,maïzenas
melfor,melfor,melfors
melloukhia,melloukhia,melloukhias
melon,melon,melons
melonade,melonade,melonades
menthe,menthe,menthes
merguez,merguez,merguez
meringue,meringue,meringues
merlan,merlan,merlans
merlu,merlu,merlus
merluchon,merluchon,merluchons
mesclun,mesclun,mescluns
metton,metton,mettons
michoko,michoko,michokos
mie,mie,mies
miel,miel,miels
miette,miette,miettes
mignonette,mignonette,mignonettes
mikado,mikado,mikados
mil,mil,mils
millet,millet,millets
mimolette,mimolette,mimolettes
mincemeat,mincemeat,mincemeats
mini,mini,minis
mirabelle,mirabelle,mirabelles
mirin,mirin,mirins
miso,miso,misos
mizithra,mizithra,mizithras
mizuna,mizuna,mizunas
mloukhia,mloukhia,mloukhias
moelle,moelle,moelles
mogette,mogette,mogettes
molokheya,molokheya,molokheyas
monbazillac,monbazillac,monbazillacs
mont,mont,monts
montepulciano,montepulciano,montepulcianos
monterey,monterey,montereys
morbier,morbier,morbiers
morille,morille,morilles
mortadelle,mortadelle,mortadelles
morue,morue,morues
moscatel,moscatel,moscatels
moule,moul,mouls
mouloukhia,mouloukhia,mouloukhias
mousse,mousse,mousses
mousseron,mousseron,mousserons
mousseux,mousseux,mousseuxs
moutarde,moutarde,moutardes
mouton,mouton,moutons
mouzillon,mouzillon,mouzillons
mozzarella,mozzarella,mozzarellas
moût,moût,moûts
muesli,muesli,mueslis
muffin,muffin,muffins
mulet,mulet,mulets
munster,munster,munsters
murène,murène,murènes
musc,musc,muscs
muscade,muscade,muscades
muscadet,muscadet,muscadets
muscat,muscat,muscats
muscovado,muscovado,muscovados
museau,museau,museaux
myrtille,myrtille,myrtilles
mâche,mâche,mâches
mélange,mélange,mélanges
mélasse,mélasse,mélasses
mélisse,mélisse,mélisses
mérou,mérou,mérous
mûre,mûre,mûres
nage,nage,nages
nappage,nappage,nappages
nashi,nashi,nashis
navarin,navarin,navarins
naveline,naveline,navelines
navet,navet,navets
navette,navette,navettes
nectarine,nectarine,nectarines
nem,nem,nems
nesquik,nesquik,nesquiks
neuchâtel,neuchâtel,neuchâtels
neufchâtel,neufchâtel,neufchâtels
niébé,niébé,niébés
njuda,njuda,njudas
noilly,noilly,noillys
noisette,noisette,noisettes
noix,noix,noix
nopal,nopal,nopals
nori,nori,noris
nougat,nougat,nougats
nougatine,nougatine,nougatines
nouille,nouille,nouilles
nugget,nugget,nuggets
nuoc,nuoc,nuocs
nutella,nutella,nutellas
nèfle,nèfle,nèfles
oeillet,oeillet,oeillets
oeuf,oeuf,oeufs
oie,oie,oies
oignon,oignon,oignons
oiseau,oiseau,oiseaux
oka,oka,okas
okara,okara,okaras
okay,okay,okays
olive,olive,olives
ombl,ombl,ombls
onglet,onglet,onglets
orange,orange,oranges
orangeade,orangeade,orangeades
orangeat,orangeat,orangeats
orangette,orangette,orangettes
orangina,orangina,oranginas
orecchiette,orecchiette,orecchiettes
oreille,oreille,oreilles
oreo,oreo,oreos
orge,orge,orges
origan,origan,origans
ormeau,ormeau,ormeaux
oronge,oronge,oronges
orphie,orphie,orphies
ortie,ortie,orties
orzo,orzo,orzos
oréo,oréo,oréos
os,os,oss
oseille,oseille,oseilles
ossau,ossau,ossaus
osso,osso,ossos
ouassou,ouassou,ouassous
oursin,oursin,oursins
ourson,ourson,oursons
ouzo,ouzo,ouzos
pageot,pageot,pageots
paille,paille,pailles
pain,pain,pains
pak,pak,paks
paleron,paleron,palerons
palet,palet,palets
palette,palette,palettes
palombe,palombe,palombes
palourd,palourd,palourds
pamplemousse,pamplemousse,pamplemousses
panais,panais,panaiss
pancake,pancake,pancakes
pancetta,pancetta,pancettas
pandan,pandan,pandans
pandoro,pandoro,pandoros
panettone,panettone,panettones
panga,panga,pangas
pangasiu,pangasiu,pangasius
panko,panko,pankos
pann,pann,panns
panse,panse,panses
pansette,pansette,pansettes
panure,panure,panures
papaye,papaye,papayes
papier,papier,papiers
papiller,papiller,papillers
pappardelle,pappardell,pappardells
papriker,papriker,paprikers
pariétaire,pariétaire,pariétaires
parmesan,parmesan,parmesans
parmigiano,parmigiano,parmigianos
parppardell,parppardell,parppardells
parure,parure,parures
passata,passata,passatas
passe-pierre,passe-pierre,passe-pierres
passetougrain,passetougrain,passetougrains
passoa,passoa,passoas
pastis,pastis,pastiss
pastrami,pastrami,pastramis
pastèque,pastèque,pastèques
patate,patate,patates
patidou,patidou,patidous
patrell,patrell,patrells
paupiette,paupiette,paupiettes
pavot,pavot,pavots
pavé,pavé,pavés
peau,peau,peaux
pecorino,pecorino,pecorinos
pectine,pectine,pectines
peepermint,peepermint,peepermints
penne,penne,pennes
pensée,pensée,pensées
pepino,pepino,pepinos
pepperoni,pepperoni,pepperonis
perche,perche,perches
perdreau,perdreau,perdreaux
perdrix,perdrix,perdrix
perle,perle,perles
perrier,perrier,perriers
persil,persil,persils
persillade,persillade,persillades
pesto,pesto,pestos
petit,petit,petits
petit-épeautre,petit-épeautre,petit-épeautres
philadelphia,philadelphia,philadelphias
physalis,physalis,physalis
piadina,piadina,piadinas
piball,piball,piballs
piccalilli,piccalilli,piccalillis
pickle,pickle,pickles
picodon,picodon,picodons
picon,picon,picons
pied,pied,pieds
pied-de-mouton,pied-de-mouton,pied-de-moutons
pigeon,pigeon,pigeons
pigeonneau,pigeonneau,pigeonneaux
pignon,pignon,pignons
pil,pil,pils
pili,pili,pilis
pilon,pilon,pilons
piment,piment,piments
pimiento,pimiento,pimientos
pimprenelle,pimprenelle,pimprenelles
pineau,pineau,pineaux
pinot,pinot,pinots
pintade,pintade,pintades
pintadeau,pintadeau,pintadeaux
pipe,pipe,pipes
piperade,piperade,piperades
piquillo,piquillo,piquillos
pisang,pisang,pisangs
pisco,pisco,piscos
pissenlit,pissenlit,pissenlits
pistache,pistache,pistaches
pistille,pistill,pistills
pistou,pistou,pistous
pitaya,pitaya,pitayas
pizza,pizza,pizzas
planter,planter,planters
plat,plat,plats
pleurote,pleurote,pleurotes
plier,plier,pliers
plum,plum,plums
pointe,pointe,pointes
poire,poire,poires
poireau,poireau,poireaux
poiré,poiré,poirés
pois,pois,pois
poisson,poisson,poissons
poitrine,poitrine,poitrines
poivre,poivre,poivres
poivron,poivron,poivrons
polenta,polenta,polentas
pomelo,pomelo,pomelos
pomme,pomme,pommes
pommeau,pommeau,pommeaux
pommette,pommette,pommettes
pomélo,pomélo,pomélos
pont,pont,ponts
pop,pop,pops
porc,porc,porcs
porcelet,porcelet,porcelets
port-salut,port-salut,port-saluts
porto,porto,portos
pot-au-feu,pot-au-feu,pot-au-feux
potatoe,potatoe,potatoes
potimarron,potimarron,potimarrons
potiron,potiron,potirons
poudre,poudre,poudres
poularde,poularde,poulardes
poule,poule,poules
poulet,poulet,poulets
poulpe,poulpe,poulpes
poumon,poumon,poumons
pourpier,pourpier,pourpiers
pousse,pousse,pousses
pousse-rapière,pousse-rapière,pousse-rapières
poussin,poussin,poussins
poutargue,poutargue,poutargues
praire,praire,praires
pralin,pralin,pralins
praline,praline,pralines
pralinoise,pralinoise,pralinoises
praliné,praliné,pralinés
prosciutto,prosciutto,prosciuttos
prosecco,prosecco,proseccos
protéine,protéine,protéines
provolone,provolone,provolones
prune,prune,prunes
pruneau,pruneau,pruneaux
prunell,prunell,prunells
préparation,préparation,préparations
présure,présure,présures
psyllium,psyllium,psylliums
pulpe,pulpe,pulpes
punch,punch,punchs
purée,purée,purées
pâte,pâte,pâtes
pâtisson,pâtisson,pâtissons
pâté,pâté,pâtés
pèpè,pèpè,pèpès
pélardon,pélardon,pélardons
pépite,pépite,pépites
pétale,pétale,pétales
pêche,pêche,pêches
quasi,quasi,quasis
