ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),singulier,pluriel
courge,,"0,66","0,26","5,06","2,53","1,4",,"0,062",0,courge,courges
courgette,"64,9","0,93","0,36","1,4","1,39","1,5",,"0,1",0,courgette,courgettes
court,974,"11,3","11,5","20,8","5,38","0,58",,"6,75",,court,courts
court-bouillon,1080,5,23,7,"4,5","2,5",,16,,court-bouillon,court-bouillons
couscous,659,5,1,31,"1,6","2,3",,"0,25",0,couscous,couscouss
couteau,,,,,,,,,,couteau,couteaux
crabe,,"18,3","3,8",,,0,,"1,14",115,crabe,crabes
cracker,1880,"8,5",12,75,"0,4","4,1",,"4,5",,cracker,crackers
cranberrie,,,,,,,,,,cranberrie,cranberries
cream,,,,,,,,,,cream,creams
crema,,,,,,,,,,crema,cremas
cresson,,"2,25","0,1",traces,,"2,1",,,,cresson,cressons
cressonnette,,,,,,,,,,cressonnette,cressonnettes
crevette,381,"18,3","1,2","1,47",,0,,"0,31",164,crevette,crevettes
croquant,,7,11,69,"22,4","8,4",,"3,18",,croquant,croquants
crosne,215,"2,13","< 0,5","9,11","0,2","1,9",,"< 0,01",,crosne,crosnes
crottin,1240,"19,3","24,4",traces,"< 0,5",0,,"16,2","92,9",crottin,crottins
crozet,,,,,,,,,,crozet,crozets
croître,1560,"7,29",20,"40,4","8,83","2,32",,"11,6","26,5",croître,croîtres
croûte,1130,"8,25","3,8","49,5","9,2",3,,"0,35",,croûte,croûtes
croûton,2060,"9,19","24,1","59,1",4,"2,6",,"4,3",,croûton,croûtons
crumble,,"2,19","9,5","33,8",19,"1,7",,"6,25","< 0,5",crumble,crumbles
crunch,,,,,,,,,,crunch,crunchs
crème,1180,"11,1","1,87","53,8","2,54","3,17",,"0,49","48,6",crème,crèmes
crémant,,"0,3",0,"2,81","1,4",0,,0,0,crémant,crémants
crépidule,,,,,,,,,,crépidule,crépidules
crépine,,,,,,,,,,crépine,crépines
crépinette,,,,,,,,,,crépinette,crépinettes
crêpe,,"8,5","14,1","58,1","28,1","1,3",,"6,51","54,7",crêpe,crêpes
cuajada,,,,,,,,,,cuajada,cuajadas
cube,326,"10,9","2,02","3,2","1,5","1,5",,"0,82","28,8",cube,cubes
cuberdon,,,,,,,,,,cuberdon,cuberdons
cuisse,785,"24,8","9,52","0,7",0,0,,,133,cuisse,cuisses
cumin,1780,"17,8","22,3","33,7","2,25","10,5",,"1,54",0,cumin,cumins
curaçao,1030,"26,5","15,5",traces,0,0,,,,curaçao,curaçaos
curcuma,1220,"9,68","3,25","44,4","3,21","22,7",,"1,84",0,curcuma,curcumas
curry,1230,"14,5",14,"2,63","2,63","53,2",,"1,65",0,curry,currys
curé,,,,,,,,,,curé,curés
cynorhodon,,,,,,,,,,cynorhodon,cynorhodons
câpre,,"2,18","0,86","3,5","0,41","3,6",,"0,23",0,câpre,câpres
cèpe,133,"3,13","0,43","3,03","1,7","1,93",,"0,071",0,cèpe,cèpes
cédrat,1270,"< 0,5","< 0,3","72,3","62,9","3,3",,0,0,cédrat,cédrats
céleri,,"1,3","0,86","4,6","2,8","2,6",,,0,céleri,céleris
céréal,1690,"7,51","6,77",75,"24,4","4,98",,"2,42","0,85",céréal,céréaux
côte,1130,"37,3","13,3",0,0,0,,"5,58",66,côte,côtes
côtelette,1520,"14,4","34,5",0,0,0,,"16,8",82,côtelette,côtelettes
daikon,,,,,,,,,,daikon,daikons
daim,,,,,,,,,,daim,daims
dakatine,,,,,,,,,,dakatine,dakatines
danette,559,"3,35","5,1","17,9","15,7","0,85",,"3,3",35,danette,danettes
dashi,,,,,,,,,,dashi,dashis
datte,,"1,81","0,25","64,7","64,7","7,3",,"0,075",0,datte,dattes
daucu,1480,0,"0,2","86,3",,"0,55",,"0,039",0,daucu,daucus
daurade,512,"22,9","3,3",traces,0,0,,"0,75",67,daurade,daurades
digestive,,,,,,,,,,digestive,digestives
dinde,524,"28,5","1,09",0,,0,,"0,51","72,5",dinde,dindes
dindonneau,,,,,,,,,,dindonneau,dindonneaux
diot,,18,30,,,0,,,,diot,diots
disque,,"3,11","9,53","4,24","0,68","1,4",,7,,disque,disques
divers,,"0,35","0,17","61,6","61,6","1,28",,"< 0,033",,divers,diverss
djansan,,,,,,,,,,djansan,djansans
dos,420,"23,1","0,73",0,0,0,,"0,14","52,1",do,dos
dorade,512,"22,9","3,3",traces,0,0,,"0,75",67,dorade,dorades
doré,,,,,,,,,,doré,dorés
doubanjiang,,,,,,,,,,doubanjiang,doubanjiangs
double,392,"3,73","0,29",17,"16,5","3,62",,0,,double,doubles
dragibu,,,,,,,,,,dragibu,dragibus
dragé,,5,"17,2","73,9","71,9",0,,"1,39",0,dragé,dragés
dé,508,"17,9","4,46","2,08","1,69","0,36",,"1,81",,dé,dés
décor,,"0,32","0,48","14,9","14,3","1,4",,"0,14",,décor,décors
eau,0,0,0,0,0,0,,0,0,eau,eaux
edam,1380,25,"25,5",traces,"< 0,25",0,,"16,9",89,edam,edams
edamame,,,,,,,,,,edamame,edamames
elbot,411,"22,6","0,73",0,0,0,,"0,13",77,elbot,elbots
emmental,1540,"27,5","28,6",traces,"< 0,25",0,,"18,1",107,emmental,emmentaux
empereur,311,15,"1,5",traces,0,0,,"0,3",,empereur,empereurs
encornet,632,"32,5","1,4","1,64",,0,,"0,24",224,encornet,encornets
endive,"99,5","1,13","< 0,3","4,38","3,2","< 0,5",,"< 0,01",,endive,endives
energy,,"0,2",0,"11,9","11,7","0,1",,0,0,energy,energys
entrecôte,711,"28,2","6,24",traces,,0,,"1,99",,entrecôte,entrecôtes
escalope,457,"20,7","2,6","0,58",0,0,,"0,6",,escalope,escalopes
escargot,338,"16,6","1,4","0,23","< 0,3",0,,"0,31",,escargot,escargots
espadon,1110,"28,7","16,9",traces,0,0,,"1,51",129,espadon,espadons
essence,1800,7,"13,5","70,3","60,1","2,8",,"1,05",0,essence,essences
estomac,,,,,,,,,,estomac,estomacs
estragon,184,"3,8",traces,"4,1","1,2","6,2",,"0,6",,estragon,estragons
esturgeon,517,"17,7","5,84",traces,0,0,,"1,34",63,esturgeon,esturgeons
etorki,1600,"23,4","32,3",traces,0,0,,"21,3",83,etorki,etorkis
expresso,32,"< 0,5","0,2","1,16",traces,"< 0,5",,"0,092",0,expresso,expressos
extraire,245,"0,03",0,"14,4","14,4",0,,0,0,extrair,extrairs
faisan,999,"32,4","12,1",0,0,0,,"3,91",89,faisan,faisans
faisselle,,"4,38",0,"4,44","3,99",traces,,0,"4,91",faisselle,faisselles
fajita,665,"12,7","4,5",16,"2,2","1,4",,"1,96","30,6",fajita,fajitas
fane,"78,8","0,55","0,1","2,6","1,3","2,8",,"0,019",0,fane,fanes
fanta,,,,,,,,,,fanta,fantas
farce,503,"5,49","9,67",2,"0,88","2,31",,"3,24",42,farce,farces
farfalle,,,,,,,,,,farfalle,farfalles
farine,1530,"6,23","2,1","78,1","0,64","2,55",,"0,27",0,farine,farines
faux-filet,685,"26,6","6,27",traces,,0,,"2,1",,faux-filet,faux-filets
fenouil,1350,"15,7","14,9","12,5","12,5","39,8",,"0,48",0,fenouil,fenouils
fenugreek,,,,,,,,,,fenugreek,fenugreeks
ferment,1310,20,"26,2",traces,0,0,,18,104,fermer,fermers
feta,,"14,5","22,8","2,5","1,13",0,,"14,3","60,3",feter,feters
fettucine,,,,,,,,,,fettucine,fettucines
feuille,625,"2,63","6,5","18,6","0,8","2,6",,"0,85",,feuille,feuilles
feuillet,1260,"8,39","17,8","26,1","3,03","1,65",,"10,1","39,1",feuillet,feuillets
feuilleté,1260,"8,39","17,8","26,1","3,03","1,65",,"10,1","39,1",feuilleté,feuilletés
ficelle,631,"8,6","7,5","11,9","2,7","0,6",,"2,8",,ficelle,ficelles
figatelli,,,,,,,,,,figatelli,figatellis
figolus,,"4,43","9,11","69,2","43,4","3,52",,"3,6","3,8",figolus,figoluss
figue,293,"1,19","< 0,5","13,5","12,2","4,1",,"< 0,01",0,figue,figues
filet,838,"23,4","11,7","0,5",0,0,,"4,13",103,filet,filets
filo,1220,"7,1",6,"50,8","0,18","1,9",,"1,47",0,filo,filos
fin,612,"9,5","11,2","1,98","0,8","0,55",,"3,6",301,fin,fins
fixe,1270,"2,06","28,2","10,6","10,4",< 3,,"18,9",76,fixe,fixes
flageolet,469,"6,75","1,1",12,"0,3","13,8",,"0,25",,flageolet,flageolets
flanchet,,,,,,,,,,flanchet,flanchets
fleur,0,0,0,0,0,0,,,,fleur,fleurs
fleuron,1260,"8,39","17,8","26,1","3,03","1,65",,"10,1","39,1",fleuron,fleurons
flocon,1560,12,"17,3","29,4","10,3","27,2",,"3,26",0,flocon,flocons
floraline,,,,,,,,,,floraline,floralines
florentin,2150,"9,31","28,7","50,7","44,1","7,6",,"10,8","21,4",florentin,florentins
fluff,,,,,,,,,,fluff,fluffs
flétan,409,"21,2","1,31",traces,0,0,,"0,21","43,7",flétan,flétans
flûte,,,,,,,,,,flûte,flûtes
foie,2010,"6,88","50,1","2,43","1,41",0,,"21,6",,foie,foies
fond,171,"3,15","2,05","2,4","0,7","0,1",,1,,fond,fonds
fondre,,"4,08","1,08","11,8","10,1","2,22",,"0,71",,fondre,fondres
fonio,,,,,,,,,,fonio,fonios
fouetté,,"4,03","13,3","57,4","28,1",1,,"7,55","53,1",fouetté,fouettés
fourme,1360,"19,5","27,6",traces,0,0,,18,97,fourme,fourmes
fraise,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0,fraise,fraises
framboise,206,"1,19","0,8","5,83","5,4","4,3",,"0,13",0,framboise,framboises
frangipane,,"7,6",30,"33,4","15,6",2,,14,90,frangipane,frangipanes
fregola,,,,,,,,,,fregola,fregolas
frik,263,"3,75","2,5","5,4","0,9","1,9",,,11,frik,friks
frisé,,"1,9","0,4","3,63","1,25",2,,"0,052",0,friser,frisers
frite,1200,"3,28","11,9","39,4","0,69","3,9",,"2,94",0,frite,frites
fromage,1330,"20,2","26,5",0,"0,021",0,,"17,6",,fromage,fromages
fructose,,0,0,"99,8",,0,,0,0,fructose,fructoses
fruit,1640,"2,19","10,5","69,5","59,4","3,4",,"9,16",0,fruit,fruits
fumet,,,,,,,,,,fumet,fumets
fungrec,,,,,,,,,,fungrec,fungrecs
fusilli,,,,,,,,,,fusilli,fusillis
fève,,"5,6","< 0,5","7,4",1,"5,8",,"< 0,01",,fève,fèves
fécule,1480,0,"0,2","86,3",,"0,55",,"0,039",0,fécule,fécules
férer,,,,,,,,,,férer,férers
févette,,,,,,,,,,févette,févettes
galanger,,,,,,,,,,galanger,galangers
galette,1630,"7,69",3,"80,5","0,73","2,9",,"0,54",,galette,galettes
gambas,,,,,,,,,,gambas,gambass
ganache,1160,"3,8","16,8","26,2","24,1",3,,"10,9",,ganache,ganaches
gaperon,,,,,,,,,,gaperon,gaperons
garam,,"2,6","1,7","14,3","12,3","1,9",,"0,35",,garam,garams
gari,,,,,,,,,,gari,garis
gaufre,,8,"13,4","36,1","4,8","1,9",,"5,12",82,gaufre,gaufres
gaufrette,,"4,43","1,58","82,4","41,7","1,66",,"0,75",,gaufrette,gaufrettes
gavotte,,,,,,,,,,gavotte,gavottes
gelsuc,,,,,,,,,,gelsuc,gelsucs
gelée,,"5,35","6,6","66,7","30,8",1,,2,,gelée,gelées
gendarme,,19,"24,9",,,traces,,"8,56","84,6",gendarme,gendarmes
genièvre,,,,,,,,,,genièvre,genièvres
germe,,"3,87","0,7","0,91","0,2","1,9",,"0,069",0,germe,germes
gervita,,"4,5",7,16,15,traces,,"4,5",,gervita,gervitas
get,1500,25,"28,4",traces,traces,0,,"19,5",97,get,gets
gewurztraminer,,,,,,,,,,gewurztraminer,gewurztraminers
ghee,,,,,,,,,,ghee,ghees
gianduja,,,,,,,,,,gianduja,giandujas
gigot,538,20,"5,13","0,48",0,0,,"1,97","72,7",gigot,gigots
gigérine,,,,,,,,,,gigérine,gigérines
gin,1100,0,0,0,0,0,,0,0,gin,gins
gingembre,1410,"8,98","4,24","58,3","3,39","14,1",,"2,6",0,gingembre,gingembres
ginger,,,,,,,,,,ginger,gingers
gini,,,,,,,,,,gini,ginis
giraumon,,,,"3,75","1,35","2,4",,,,giraumon,giraumons
girell,,,,,,,,,,girell,girells
girofle,1390,"5,97",13,"31,6","2,38","33,9",,"3,95",0,girofle,girofles
girolle,137,"2,28","0,78","2,3","1,87","4,23",,"0,5",0,girolle,girolles
giromon,,,,,,,,,,giromon,giromons
glace,,"2,5","8,4","26,1","21,9",< 3,,"5,44","39,3",glace,glaces
glaçage,,,,,,,,,,glaçage,glaçages
glaçon,,,,,,,,,,glaçon,glaçons
glucose,,,,,,,,,,glucose,glucoses
glutamate,,,,,,,,,,glutamate,glutamates
glycérine,1400,"40,4","4,5","21,8","2,5","22,5",,"0,7","< 0,7",glycérine,glycérines
gnocchi,766,"6,34","7,88",34,"0,65","1,9",,"0,33",,gnocchi,gnocchis
gochugaru,1560,12,"17,3","29,4","10,3","27,2",,"3,26",0,gochugaru,gochugarus
gochujang,1560,12,"17,3","29,4","10,3","27,2",,"3,26",0,gochujang,gochujangs
gofio,,,,,,,,,,gofio,gofios
golden,242,"< 0,5","< 0,5","12,8","11,5","1,4",,"< 0,01",,golden,goldens
golmotte,,,,,,,,,,golmotte,golmottes
gomasio,,,,,,,,,,gomasio,gomasios
gombo,,"1,87","0,21","2,01","2,01","2,5",,"0,045",0,gombo,gombos
gomme,,,,,,,,,,gomme,gommes
gorge,1960,"11,6","47,5","0,14","0,14",0,,16,,gorge,gorges
gorgonzola,1300,"18,6","26,4",traces,"< 0,3",0,,"16,9","81,1",gorgonzola,gorgonzolas
gouda,1560,"22,8","31,5",traces,"< 0,25",0,,"20,3",103,gouda,goudas
gousse,,,,,,,,,,gousse,gousses
goyave,,"1,59","0,73","9,02","8,92","5,15",,"0,21",0,goyave,goyaves
goyavier,,,,,,,,,,goyavier,goyaviers
grain,3700,0,100,0,0,0,,"49,3",0,grain,grains
graine,1350,"15,7","14,9","12,5","12,5","39,8",,"0,48",0,graine,graines
graisse,1200,"3,28","11,9","39,4","0,69","3,9",,"2,94",0,graisse,graisses
grand-marnier,,"1,5",7,"8,45","6,6",traces,,"4,85",,grand-marnier,grand-marniers
granny,217,"< 0,5","< 0,5","10,7","10,1","2,8",,"< 0,01",,granny,grannys
granola,,,,,,,,,,granola,granolas
granulé,,"0,5",5,93,91,"0,5",,4,,granuler,granulers
grappa,,,,,,,,,,grappa,grappas
grenade,340,"1,44","1,2","14,3","13,3","2,3",,"0,07",0,grenade,grenades
grenadier,292,"15,4","0,81",traces,0,0,,"0,11","37,1",grenadier,grenadiers
grenadin,474,"15,4",4,"3,1","0,3","0,8",,"2,03","56,6",grenadin,grenadins
grenadine,,,,,,,,,,grenadine,grenadines
grer,1250,"15,5","16,7","21,5",,< 1,,"6,32","48,4",grer,grers
gressin,1800,"13,9","11,8","65,3","2,06","5,16",,"2,78",,gressin,gressins
greubon,,,,,,,,,,greubon,greubons
griotte,,"1,1","0,3","10,5","8,49","1,65",,"0,084",0,griotte,griottes
grive,,,,,,,,,,grive,grives
grondin,397,19,2,traces,0,0,,,,grondin,grondins
gros,0,0,0,0,0,0,,,,gros,gross
groseille,,"0,75","0,59","4,88",,"4,03",,"0,058",0,groseille,groseilles
gruau,,,,,,,,,,gruau,gruaus
gruyère,1770,"27,9","34,6",traces,0,0,,"19,8",105,gruyère,gruyères
guacamole,,"2,18","16,5","5,85","2,65","5,65",,"3,95","3,6",guacamole,guacamoles
guancial,,,,,,,,,,guancial,guanciaux
guigne,,,,,,,,,,guigne,guignes
guignolet,,,,,,,,,,guignolet,guignolets
guimauve,,"3,67","1,42","78,7","65,6","0,23",,"0,067",0,guimauve,guimauves
guinness,,,,,,,,,,guinness,guinnesss
gâteau,,"5,27","17,8","53,5",32,"1,75",,"5,36","85,8",gâteau,gâteaux
gélatine,1480,"86,9","0,1",0,,0,,"0,036",,gélatine,gélatines
génois,,"5,7","14,4","57,6","27,1","4,6",,"1,6",,génois,génoiss
génépi,,,,,,,,,,génépi,génépis
gésier,443,"17,3","3,75","0,6",0,0,,"1,12",240,gésier,gésiers
gîte,431,21,"1,9","0,2",,0,,"0,8",,gîte,gîtes
haché,575,"17,7","5,68","3,5","1,4","0,63",,"1,88",,haché,hachés
haddock,411,"22,6","0,73",0,0,0,,"0,13",77,haddock,haddocks
halloumi,,,,,,,,,,halloumi,halloumis
hampe,728,"21,6","9,76",traces,,0,,"4,36",,hampe,hampes
hareng,840,23,"12,1",traces,0,0,,"3,51",57,hareng,harengs
haricot,152,"1,95",,12,"0,3","13,8",,"0,25",0,haricot,haricots
harisser,,"2,72","2,9","7,3",,"5,1",,"0,47",,harisser,harissers
haut,487,"19,7","4,12",0,0,0,,"1,1",94,haut,hauts
herbe,206,"3,58","0,8","4,15","1,99","5,64",,"0,2",0,herbe,herbes
hlalem,,,,,,,,,,hlalem,hlalems
homard,385,"19,6","1,32","0,11",0,0,,"0,21",128,homard,homards
hostie,,,,,,,,,,hostie,hosties
houmou,,"8,2","23,9","7,1","1,38","5,98",,"2,48",,houmou,houmous
huil,3700,"0,21","99,9",0,0,0,,"13,5",0,huil,huils
huître,283,"8,64","1,91","3,86",traces,0,,"0,34","20,3",huître,huîtres
hydromel,,,,,,,,,,hydromel,hydromels
hypocra,,,,,,,,,,hypocra,hypocras
iceberg,,"1,01","0,18","2,45","1,48","1,15",,"0,023",0,iceberg,icebergs
igname,463,"1,49","0,14","23,6","0,49","3,9",,"0,029",0,igname,ignames
irish,,0,"0,02","15,9","15,8",0,,"0,003",0,irish,irishs
ivoire,,"6,16","34,2","57,1",56,1,,"21,3",23,ivoir,ivoirs
jalapeño,,,,,,,,,,jalapeño,jalapeños
jambon,811,"18,6",13,"0,8",0,0,,2,"56,9",jambon,jambons
jambonneau,618,"20,2","7,31","0,28","0,28",0,,"2,4",,jambonneau,jambonneaux
jarret,679,31,"4,1",traces,,0,,"1,13",50,jarret,jarrets
jaune,,"0,69","0,1","7,31","7,31","1,1",,"0,014",0,jaune,jaunes
jeune,1390,"28,3","24,2",traces,0,0,,"17,4",,jeune,jeunes
joue,992,"39,2","8,82",traces,,0,,"3,19",,joue,joues
jujube,,,,,,,,,,jujube,jujubes
julien,343,"19,2","0,44",traces,0,0,,"0,11",38,julien,juliens
jumbo,,,,,,,,,,jumbo,jumbos
jus,1050,"< 0,5","0,3","59,7","56,8","1,1",,"0,041",0,jus,juss
jägermeister,,,,,,,,,,jägermeister,jägermeisters
jésus,,,,,,,,,,jésus,jésuss
kadaif,,,,,,,,,,kadaif,kadaifs
kaki,290,"0,88","< 0,3","14,3","13,9","3,4",,"< 0,01",0,kaki,kakis
kal,,,,,,,,,,kal,kaux
kangourou,,,,,,,,,,kangourou,kangourous
kari,,,,,,,,,,kari,karis
kasha,,,,,,,,,,kasha,kashas
kechek,,,,,,,,,,kechek,kecheks
kefalotiri,,,,,,,,,,kefalotiri,kefalotiris
ketchup,420,"1,27","0,19","21,4","20,8","1,15",,"0,069",0,ketchup,ketchups
kinder,2300,"8,75","34,2","50,9","43,3","1,7",,"16,6","9,46",kinder,kinders
kiri,,"10,6","18,9","24,1","3,1","1,2",,"11,3",49,kiri,kiris
kirsch,,,,,,,,,,kirsch,kirschs
kiwi,255,"0,88","0,6",11,"8,9","2,4",,"0,13",0,kiwi,kiwis
knack,1200,"12,4","25,9","1,39","1,06","1,37",,"10,9","73,1",knack,knacks
knacki,1200,"12,7","25,9","1,46","1,09","0,27",,"9,59","64,7",knacki,knackis
kombu,905,"9,51","1,13","25,6",,"33,2",,"0,15",,kombu,kombus
kombucha,40,"< 0,5","< 0,3","1,45","1,45","< 0,5",,"< 0,01",,kombucha,kombuchas
kororimer,,,,,,,,,,kororimer,kororimers
krisproll,1680,"9,75","8,25","68,5","6,2","7,3",,"1,64",,krisproll,krisprolls
kub,,,,,,,,,,kub,kubs
kumquat,,"1,57","1,18","9,6","9,36","5,45",,"0,17",0,kumquat,kumquats
kéfir,,"3,13","3,5","4,5","3,62",0,,"2,33",14,kéfir,kéfirs
labeyrie,1140,"25,7","18,8","0,15","0,14","0,4",,"7,26",132,labeyrie,labeyries
lactaire,,,,,,,,,,lactaire,lactaires
lait,273,"3,25","3,63","4,85","4,2",0,,"2,4","12,5",lait,laits
laitue,856,"15,9","2,03","13,8",,"34,4",,"0,36",,laitue,laitues
lambig,,,,,,,,,,lambig,lambigs
lambis,,,,,,,,,,lambis,lambiss
lamproie,,,,,,,,,,lamproie,lamproies
langoust,449,"21,8","1,52","1,3",0,0,,"0,26",80,langoust,langousts
langoustine,,"20,9","0,98",,,0,,"0,14",149,langoustine,langoustines
langre,1170,"16,4","23,8",traces,"< 0,2",traces,,"16,9","89,3",langre,langres
langue,,"5,66","10,7","77,9","40,3","1,86",,"6,85",67,langue,langues
lapin,697,"20,5","9,2","0,5",,0,,"3,42","75,9",lapin,lapins
lard,3330,"2,92","88,7",0,0,0,,"32,2",57,lard,lards
lardon,1340,"23,8","24,5",2,,0,,"12,6","80,6",lardon,lardons
lasagne,749,7,"10,2",14,"2,3","1,4",,"5,23","25,6",lasagne,lasagnes
lasagnette,,,,,,,,,,lasagnette,lasagnettes
laurier,1480,"7,61","8,36","48,6","48,6","26,3",,"2,28",0,laurier,lauriers
lavande,,,,,,,,,,lavande,lavandes
leerdammer,,,,,,,,,,leerdammer,leerdammers
leffe,,,,,,,,,,leffe,leffes
lemon,,,,,,,,,,lemon,lemons
lentille,,"26,1","1,9","48,3","1,4","12,1",,"0,32",,lentill,lentills
lentin,258,"1,56","0,22","12,3","3,84","2,1",,"0,05",0,lentin,lentins
levain,1090,"8,13","1,3","53,1","2,4","2,1",,"0,2",,levain,levains
levure,,"8,3","1,9","11,9",0,"7,15",,"0,26",0,levure,levures
lier,,,,,,,,,,lier,liers
lieu,425,"24,4","< 0,5",traces,0,0,,"< 0,01","70,1",lieu,lieux
lillet,311,"0,75","< 0,5","16,6","15,5",1,,"< 0,01","< 0,13",lillet,lillets
limande,380,"17,4","2,27",traces,0,0,,"0,12",73,limande,limandes
lime,,"0,35","0,57",,,,,,,lime,limes
limonade,,"0,04","0,02","8,45","8,45",traces,,0,0,limonade,limonades
limoncello,,,,,,,,,,limoncello,limoncellos
lingue,338,"18,9","0,44",traces,0,0,,"0,095","51,9",lingue,lingues
linguine,,,,,,,,,,linguine,linguines
liqueur,1380,"0,1","0,3","39,6","35,3",0,,"0,083",0,liqueur,liqueurs
liseron,,"0,44","0,023",,,,,,,liseron,liserons
litchi,344,"1,13","< 0,5","16,1","15,7",2,,"< 0,01",0,litchi,litchis
livarot,1260,"24,1","22,6",traces,"< 0,2",0,,"15,3","77,3",livarot,livarots
livèche,,,,,,,,,,livèche,livèches
lièvre,466,"21,6","2,67",0,0,0,,"0,93",60,lièvre,lièvres
longanisse,,,,,,,,,,longanisse,longanisses
longer,649,"23,3","6,81",traces,0,0,,"1,26",38,longer,longers
lotte,285,"15,1","0,74",traces,0,"< 0,2",,"0,2",25,lotte,lottes
lotus,,,,,,,,,,lotus,lotuss
lou,,,,,,,,,,lou,lous
loup,414,"20,1","1,94",traces,0,0,,"0,49","58,1",loup,loups
lupini,,,,,,,,,,lupini,lupinis
lécithine,3210,0,83,8,"3,3",traces,,"12,6",0,lécithine,lécithines
légume,292,"6,4",3,"3,6","2,59","1,4",,"0,46","30,8",légume,légumes
m&m',2110,"5,49","24,3",65,"57,4","1,98",,15,"12,1",m&m,m&ms
maasdam,1500,25,"28,4",traces,traces,0,,"19,5",97,maasdam,maasdams
macaron,,10,"21,2","49,7","45,2","2,9",,"4,46","19,3",macaron,macarons
macaroni,,,,,,,,,,macaroni,macaronis
macis,,,,,,,,,,macis,maciss
macreus,619,"27,3","4,2",traces,,0,,"1,59",,macreus,macreuss
macédoine,170,"2,32","0,28","5,59","1,73","3,16",,"0,076",0,macédoine,macédoines
madeleine,,"5,6","25,5","52,6","27,4","0,8",,"15,7",163,madeleine,madeleines
madère,,"0,6","2,2","3,6","1,9","0,5",,"1,1",,madère,madères
magret,928,"26,7","12,8",traces,0,0,,"2,46",106,magret,magrets
mahi,,,,,,,,,,mahi,mahis
malabar,,,,,,,,,,malabar,malabars
malibu,,,,,,,,,,malibu,malibus
malte,,"9,9","5,03","79,4","78,5",,,"2,38",1,malte,maltes
manchego,,,,,,,,,,manchego,manchegos
mandarine,200,"0,81","< 0,5","9,17","8,6","1,7",,"< 0,01",0,mandarine,mandarines
mangoustan,,,,,,,,,,mangoustan,mangoustans
mangue,314,"0,63","< 0,5","14,3","12,9","1,6",,"< 0,01",0,mangue,mangues
maniguette,,,,,,,,,,maniguette,maniguettes
manioc,561,"0,69","0,043",32,,"0,4",,,,manioc,maniocs
manouri,,,,,,,,,,manouri,manouris
manzana,,,,,,,,,,manzana,manzanas
maquereau,949,"21,5","15,8",traces,0,0,,"4,44","81,8",maquereau,maquereaux
marasquin,,,,,,,,,,marasquin,marasquins
marc,,,,,,,,,,marc,marcs
marcassin,,,,,,,,,,marcassin,marcassins
margarine,2600,"0,13",70,"0,24","0,24",0,,"29,2","5,6",margarine,margarines
marier,,,,,,,,,,marier,mariers
marjolaine,1140,"12,7","7,04","20,3","4,09","40,3",,"0,53",0,marjolaine,marjolaines
marlin,,,,,,,,,,marlin,marlins
marmelade,1050,"< 0,5","0,4","59,3","56,9","1,5",,"0,14",0,marmelade,marmelades
maroilles,1450,"20,8","29,5",traces,,0,,"17,3",,maroilles,maroilless
maronsui',872,"2,13","6,5","34,4","28,3","1,1",,"4,52","15,7",maronsui,maronsuis
marron,1370,"0,94","< 0,5","79,5","56,6","0,9",,"< 0,01",,marron,marrons
mars,,,,,,,,,,mars,marss
marsala,887,"0,1",0,"27,9","27,9",0,,0,0,marsala,marsalas
marshmallow,,"3,67","1,42","78,7","65,6","0,23",,"0,067",0,marshmallow,marshmallows
martini,,,,,,,,,,martini,martinis
mascarpone,,"4,29",39,4,4,0,,"25,7",123,mascarpone,mascarpones
massala,,"2,6","1,7","14,3","12,3","1,9",,"0,35",,massala,massalas
massalé,,,,,,,,,,massalé,massalés
massepain,,,,,,,,,,massepain,massepains
mastell,,,,,,,,,,mastell,mastells
matière,1940,"6,58","19,8","62,1","2,49","5,19",,"1,94","1,01",matière,matières
maton,,,,,,,,,,maton,matons
maury,,,,,,,,,,maury,maurys
mayonnaise,,"1,36","75,2","2,62","1,03","0,32",,"7,27",70,mayonnaise,mayonnaises
maïs,2030,11,"23,8","52,6","0,57","8,1",,"9,85","3,3",maïs,maïss
maïzena,,,,,,,,,,maïzena,maïzenas
melfor,,,,,,,,,,melfor,melfors
melloukhia,,"1,13",21,"0,2",,"8,4",,,,melloukhia,melloukhias
melon,265,"1,13","< 0,5","14,8","10,6","1,3",,"< 0,01",0,melon,melons
melonade,,,,,,,,,,melonade,melonades
menthe,240,"3,52","0,84","5,3","5,3","7,4",,"0,22",0,menthe,menthes
merguez,1180,"13,1","11,4",31,"2,92","1,81",,"5,2","28,5",merguez,merguezs
meringue,,"4,06","< 0,5","94,3","94,3","< 0,5",,"< 0,01",0,meringue,meringues
merlan,417,23,"0,7",traces,0,0,,"0,13",55,merlan,merlans
merlu,472,"21,2",3,traces,0,0,,"0,92","77,4",merlu,merlus
merluchon,,,,,,,,,,merluchon,merluchons
mesclun,,2,0,"2,5",0,2,,0,,mesclun,mescluns
metton,,,,,,,,,,metton,mettons
michoko,,,,,,,,,,michoko,michokos
mie,1140,"9,66","5,41","43,6","4,42","5,74",,"1,15","< 0,5",mie,mies
